rva	size	donor	donor_rva	symbol	unit	evidence
0x00002523	0xd6	buka21	0x0008cd07	??0recruitUnit@@QAE@PAVarmyGroup@@HPAF@Z	SOURCE/RECRUIT	graph:2;base=0.525485;margin=0.166304;shape=0.333;size=0.916;calls=1.000;alternate=pol20:void recruitUnit::constructor(class armyGroup *, int, short int *)@0x0008bd0b
0x000025f9	0xf4	buka21	0x0008cdcb	??0recruitUnit@@QAE@PAVtown@@HH@Z	SOURCE/RECRUIT	graph:2;base=0.543110;margin=0.262899;shape=0.371;size=0.914;calls=1.000;alternate=pol20:void recruitUnit::constructor(class town *, int, int)@0x0008bdea
0x000026ed	0x1c3	buka21	0x0008ceaa	?QuickViewRecruit@@YIXPAVtown@@H@Z	SOURCE/RECRUIT	graph:2;base=0.627669;margin=0.094785;shape=0.388;size=0.783;calls=0.727;strings=recruiq0.bin|recruiq1.bin;alternate=pol20:void QuickViewRecruit(class town *, int)@0x0008bee5
0x00002af0	0xf0	pol20	0x000a25e0	int searchArray::BuildPath(int, int, int, int, int)	SOURCE/SEARCH	graph:3;base=0.441049;margin=0.725819;shape=0.190;size=0.800;calls=1.000
0x00002be0	0xa60	buka21	0x000917d6	?SeedPosition@searchArray@@QAEXHHHHHHHHHHHH@Z	SOURCE/SEARCH	graph:2;base=0.418459;margin=0.401354;shape=0.193;size=0.813;calls=0.875;alternate=pol20:void searchArray::SeedPosition(int, int, int, int, int, int, int, int, int, int, int, int)@0x000a26a0
0x00003640	0x59	pol20	0x00035290	void DDRestoreDisplayMode(void)	SOURCE/wingraph	graph:2;base=0.688749;margin=0.407291;shape=0.677;size=0.955;calls=1.000
0x00003699	0x46	pol20	0x000352e5	int DDQueryNewPalette(void)	SOURCE/wingraph	unique-normalized
0x000036df	0x9b	buka21	0x000afc47	?CreatePrimary@@YIXXZ	SOURCE/wingraph	graph:2;base=0.466160;margin=0.260025;shape=0.308;size=0.761;calls=1.000;alternate=pol20:void CreatePrimary(void)@0x0003532b
0x0000377a	0xeb	buka21	0x000afcbd	?SetupClipper@@YIXXZ	SOURCE/wingraph	graph:3;base=0.462387;margin=0.608484;shape=0.302;size=0.757;calls=1.000;alternate=pol20:void SetupClipper(void)@0x000353bf
0x00003865	0x171	buka21	0x000afd6f	?DDInitGraphics@@YIXXZ	SOURCE/wingraph	graph:4;base=0.478180;margin=0.785524;shape=0.323;size=0.780;calls=1.000;alternate=pol20:void DDInitGraphics(void)@0x000354a2
0x000039d6	0x592	buka21	0x000afe8f	?DDAppPaint@@YIHPAX0@Z	SOURCE/wingraph	graph:1;base=0.713701;margin=0.241032;shape=0.479;size=0.871;calls=0.917;strings=ResetDisplayMode;alternate=pol20:int DDAppPaint(void *, void *)@0x00035601
0x00003f68	0x140	pol20	0x00035b31	void DDInitializePalette(void)	SOURCE/wingraph	graph:2;base=0.794926;margin=0.671542;shape=0.889;size=0.987;calls=1.000
0x000040a8	0xb3	pol20	0x00035c6d	int DDSetPalette(void)	SOURCE/wingraph	graph:1;base=0.744443;margin=0.402034;shape=0.786;size=0.978;calls=1.000
0x0000415b	0x12a	buka21	0x000b04f8	?DDCreateSurface@@YIPAUIDirectDrawSurface@@KKH@Z	SOURCE/wingraph	graph:2;base=0.607502;margin=0.616633;shape=0.536;size=0.889;calls=1.000;alternate=pol20:struct IDirectDrawSurface * DDCreateSurface(unsigned long int, unsigned long int, int)@0x00035d1c
0x00004285	0x3ee	buka21	0x000b0601	?DDSD@@YIXHPADH@Z	SOURCE/wingraph	graph:3;base=0.296609;margin=0.202074;shape=0.224;size=0.647;calls=0.194;alternate=pol20:void DDSD(int, char *, int)@0x00035e4f
0x00004673	0x11c	buka21	0x000b0c15	?DDUpdatePalette@@YAXPAC@Z	SOURCE/wingraph	graph:2;base=0.482125;margin=0.532523;shape=0.296;size=0.838;calls=1.000;alternate=pol20:void DDUpdatePalette(signed char *)@0x00036421
0x0000478f	0x17f	buka21	0x000b0d03	?DDCleanUpWinGraphics@@YIXXZ	SOURCE/wingraph	graph:2;base=0.511358;margin=0.374406;shape=0.341;size=0.862;calls=1.000;alternate=pol20:void DDCleanUpWinGraphics(void)@0x00036539
0x0000490e	0x2ea	buka21	0x000b0e4d	?DDSetFullScreenStatus@@YIXH@Z	SOURCE/wingraph	graph:2;base=0.474854;margin=0.471351;shape=0.269;size=0.849;calls=1.000;alternate=pol20:void DDSetFullScreenStatus(int)@0x000366b0
0x00004bf8	0x89	pol20	0x000369b5	int WGQueryNewPalette(void)	SOURCE/wingraph	unique-normalized
0x00004c81	0x151	pol20	0x00036a3e	void WGInitGraphics(void)	SOURCE/wingraph	unique-instructions
0x00004dd2	0x1dd	buka21	0x000b1273	?WGUpdatePalette@@YAXPAC@Z	SOURCE/wingraph	graph:2;base=0.572794;margin=0.559534;shape=0.427;size=0.941;calls=1.000
0x00004faf	0x1d5	pol20	0x00036d76	void WGInitializePalette(void)	SOURCE/wingraph	unique-normalized
0x00005344	0x78	pol20	0x0003710f	void WGCleanUpWinGraphics(void)	SOURCE/wingraph	unique-normalized
0x000053bc	0x6c	pol20	0x00037187	void ConnectToDLLs(void)	SOURCE/wingraph	graph:1;base=0.753649;margin=0.445078;shape=0.548;size=0.844;calls=1.000;strings=DDRAW.DLL|DirectDrawCreate
0x00005428	0x29	pol20	0x00037207	void DisconnectDLLs(void)	SOURCE/wingraph	unique-normalized
0x00005451	0x2c	pol20	0x00037230	void RestoreDisplayMode(void)	SOURCE/wingraph	unique-normalized
0x0000547d	0x2e	pol20	0x0003725c	int SetPalette(void)	SOURCE/wingraph	unique-normalized
0x000054ab	0x81	buka21	0x000b18a6	?GetGraphicsInfo@@YIXXZ	SOURCE/wingraph	graph:2;base=0.553360;margin=0.492664;shape=0.455;size=0.829;calls=1.000;alternate=pol20:void GetGraphicsInfo(void)@0x0003728a
0x0000552c	0x60	pol20	0x00037308	void InitGraphics(void)	SOURCE/wingraph	graph:3;base=0.371070;margin=0.558927;shape=0.342;size=0.600;calls=0.333
0x000055d3	0x2c	pol20	0x000373ee	void InitializePalette(void)	SOURCE/wingraph	unique-normalized
0x000055ff	0x3a	buka21	0x000b19de	?UpdatePalette@@YAXPAC@Z	SOURCE/wingraph	graph:2;base=0.455956;margin=0.505805;shape=0.333;size=0.690;calls=1.000
0x00005639	0x31	pol20	0x00037452	void CleanUpWinGraphics(void)	SOURCE/wingraph	unique-normalized
0x0000566a	0xb9	buka21	0x000b1a25	?SetFullScreenStatus@@YIXH@Z	SOURCE/wingraph	graph:3;base=0.430220;margin=0.650390;shape=0.175;size=0.870;calls=0.800;alternate=pol20:void SetFullScreenStatus(int)@0x00037483
0x00005723	0x31	pol20	0x00037564	int QueryNewPalette(void)	SOURCE/wingraph	unique-normalized
0x00005754	0x1fc	buka21	0x000b1ae0	?SetGraphicsType@@YIHH@Z	SOURCE/wingraph	graph:2;base=0.565182;margin=0.258783;shape=0.434;size=0.909;calls=1.000;alternate=pol20:int SetGraphicsType(int)@0x00037595
0x00005950	0x169	pol20	0x0000d5e0	void advManager::StartCursor(int)	SOURCE/CURSOR	graph:2;base=0.535759;margin=0.462676;shape=0.382;size=0.864;calls=1.000
0x00005ab9	0x150	pol20	0x0000d718	void advManager::StopCursor(int)	SOURCE/CURSOR	graph:7;base=0.506320;margin=1.178536;shape=0.344;size=0.845;calls=1.000
0x00005c09	0x5e4	pol20	0x0000d834	void advManager::DrawCursor(void)	SOURCE/CURSOR	graph:2;base=0.524437;margin=0.571767;shape=0.325;size=0.987;calls=0.833
0x000061ed	0x88	buka21	0x00033dde	?GetCursorBaseFrame@advManager@@QAEHH@Z	SOURCE/CURSOR	graph:2;base=0.375377;margin=0.466673;shape=0.186;size=0.574;calls=1.000;alternate=pol20:int advManager::GetCursorBaseFrame(int)@0x0000e198
0x00006275	0x261	buka21	0x00033e2c	?TurnTo@advManager@@QAEXH@Z	SOURCE/CURSOR	graph:2;base=0.461800;margin=0.347232;shape=0.223;size=0.872;calls=1.000;alternate=pol20:void advManager::TurnTo(int)@0x0000e21d
0x0000660c	0xe1e	buka21	0x000340ca	?MoveHero@advManager@@QAEPAVmapCell@@HHPAH00H0H@Z	SOURCE/CURSOR	graph:3;base=0.461867;margin=0.353958;shape=0.281;size=0.831;calls=0.879;alternate=pol20:class mapCell * advManager::MoveHero(int, int, int *, int *, int *, int, int *, int)@0x0000e51f
0x0000742a	0x181	buka21	0x000351c5	?CheckAdjacentMon@advManager@@QAEXPAH@Z	SOURCE/CURSOR	graph:4;base=0.530646;margin=0.751795;shape=0.360;size=0.888;calls=1.000;alternate=pol20:void advManager::CheckAdjacentMon(int *)@0x0000f753
0x00007d90	0x1f1	buka21	0x000a4740	??0townObject@@QAE@HHPAD@Z	SOURCE/TOWNMGR	graph:2;base=0.615649;margin=0.314990;shape=0.431;size=0.799;calls=0.333;strings=%s.icn;alternate=pol20:void townObject::constructor(int, int, char *)@0x00013900
0x00007f81	0x60	buka21	0x000a48cd	??1townObject@@QAE@XZ	SOURCE/TOWNMGR	graph:2;base=0.564007;margin=0.293257;shape=0.438;size=0.896;calls=1.000;alternate=pol20:void townObject::~destructor(void)@0x00013a6a
0x000080f8	0x74	pol20	0x00089a30	void highScoreManager::constructor(void)	SOURCE/HISCORE	graph:2;base=0.634276;margin=0.344895;shape=0.680;size=0.879;calls=0.500
0x0000816c	0x7ec	buka21	0x000a51da	?SetupTown@townManager@@QAEXXZ	SOURCE/TOWNMGR	graph:5;base=0.644440;margin=0.052173;shape=0.362;size=0.803;calls=0.887;strings=%s%s|port%04d.icn|strip.icn;alternate=pol20:void townManager::SetupTown(void)@0x0001436f
0x00008958	0x1c4	buka21	0x000a5bb9	?UnloadTown@townManager@@QAEXXZ	SOURCE/TOWNMGR	graph:2;base=0.470224;margin=0.176996;shape=0.284;size=0.924;calls=0.667;alternate=pol20:void townManager::UnloadTown(void)@0x00014cc9
0x0000933a	0x74	buka21	0x000a67ce	?ShowText@townManager@@QAEXPAD@Z	SOURCE/TOWNMGR	graph:2;base=0.613333;margin=0.109874;shape=0.519;size=1.000;calls=1.000;alternate=pol20:void townManager::ShowText(char *)@0x000158e0
0x000093ae	0x131f	buka21	0x000a6842	?Main@townManager@@UAEHAAUtag_message@@@Z	SOURCE/TOWNMGR	graph:5;base=0.513026;margin=0.490356;shape=0.272;size=0.823;calls=0.467;strings=caslwind.bin|magewind.bin|thiefwin.bin;alternate=pol20:int townManager::Main(struct tag_message &);   // virtual [override (implements baseManager pure virtual)]@0x0001595d
0x0000a6cd	0x65f	buka21	0x000a7f7b	?DoCommand@townManager@@QAEXH@Z	SOURCE/TOWNMGR	graph:2;base=0.443170;margin=0.301918;shape=0.326;size=0.721;calls=0.800;alternate=pol20:void townManager::DoCommand(int)@0x0001718d
0x0000ad2c	0xa5	pol20	0x00017670	void townManager::RedrawTownScreen(void)	SOURCE/TOWNMGR	graph:3;base=0.839276;margin=0.743044;shape=1.000;size=0.954;calls=1.000
0x0000add1	0x37e	buka21	0x000a84b7	?SplitArmy@townManager@@QAEXXZ	SOURCE/TOWNMGR	graph:3;base=0.732616;margin=0.021648;shape=0.430;size=0.991;calls=1.000;strings=splitwin.bin;alternate=pol20:void townManager::SplitArmy(void)@0x0001771d
0x0000b21d	0xab	buka21	0x000a8843	?ResetStrips@townManager@@QAEXXZ	SOURCE/TOWNMGR	graph:2;base=0.515580;margin=0.398432;shape=0.375;size=0.860;calls=1.000;alternate=pol20:void townManager::ResetStrips(void)@0x00017ab2
0x0000b35d	0xf8	pol20	0x00017bdd	void townManager::DrawTown(int, int)	SOURCE/TOWNMGR	graph:2;base=0.452321;margin=0.229873;shape=0.324;size=0.774;calls=0.778
0x0000b455	0x1023	buka21	0x000a89fe	?BuyBuild@townManager@@QAEHHHH@Z	SOURCE/TOWNMGR	graph:4;base=0.668468;margin=0.054253;shape=0.329;size=0.894;calls=0.897;strings=bigfont.fnt|buybuil%d.bin|resource.icn;alternate=pol20:int townManager::BuyBuild(int, int, int)@0x00017c9d
0x0000c478	0x3a0	buka21	0x000a986a	?BuildObj@townManager@@QAEXH@Z	SOURCE/TOWNMGR	graph:2;base=0.630156;margin=0.342681;shape=0.206;size=0.999;calls=0.933;strings=buildtwn.82M;alternate=pol20:void townManager::BuildObj(int)@0x00018bd2
0x0000c818	0x4b5	buka21	0x00024320	?SetupCastle@townManager@@QAEXPAVheroWindow@@H@Z	SOURCE/Castle	graph:5;base=0.228280;margin=0.655471;shape=0.234;size=0.312;calls=0.264;alternate=pol20:void townManager::SetupCastle(class heroWindow *, int)@0x0001d040
0x0000cf1a	0x331	buka21	0x000a9c0b	?SetupMage@townManager@@QAEXPAVheroWindow@@@Z	SOURCE/TOWNMGR	graph:2;base=0.426387;margin=0.115621;shape=0.211;size=0.919;calls=0.625;alternate=pol20:void townManager::SetupMage(class heroWindow *)@0x00018fbb
0x0000d3d1	0x2ec	buka21	0x000ab344	?SetupThievesGuild@townManager@@QAEXPAVheroWindow@@H@Z	SOURCE/TOWNMGR	graph:5;base=0.350822;margin=0.362412;shape=0.263;size=0.210;calls=0.163;strings=townwind.icn;alternate=pol20:void townManager::SetupThievesGuild(class heroWindow *, int)@0x0001a783
0x0000d6bd	0x484	buka21	0x000ac127	?GetCategoryStats@@YIXHQAJQAC@Z	SOURCE/TOWNMGR	graph:2;base=0.459458;margin=0.479043;shape=0.193;size=0.976;calls=0.800;alternate=pol20:void GetCategoryStats(int, long int * const, signed char * const)@0x0001b692
0x0000dc5a	0x981	buka21	0x000aa0d8	?RecruitHero@townManager@@QAEHHH@Z	SOURCE/TOWNMGR	graph:4;base=0.555715;margin=0.218228;shape=0.276;size=0.741;calls=0.578;strings=port%04d.icn|rcrthero.bin;alternate=pol20:int townManager::RecruitHero(int, int)@0x00019523
0x0000e5db	0x155	buka21	0x000aa7e3	?TavernHandler@@YIHAAUtag_message@@@Z	SOURCE/TOWNMGR	graph:2;base=0.461090;margin=0.267847;shape=0.244;size=0.845;calls=1.000;alternate=pol20:int TavernHandler(struct tag_message &)@0x00019c29
0x0000e730	0x136	buka21	0x000aa903	?DoTavern@townManager@@QAEXXZ	SOURCE/TOWNMGR	graph:2;base=0.728216;margin=0.164549;shape=0.467;size=0.965;calls=0.889;strings=tavwin.bin;alternate=pol20:void townManager::DoTavern(void)@0x00019d7c
0x0000e866	0x726	buka21	0x00025230	?CastleHandler@@YIHAAUtag_message@@@Z	SOURCE/Castle	graph:4;base=0.424517;margin=0.478912;shape=0.381;size=0.626;calls=0.675;alternate=pol20:int CastleHandler(struct tag_message &)@0x0001e0fb
0x0000f2c0	0x311	buka21	0x0002b850	?Main@combatManager@@UAEHAAUtag_message@@@Z	SOURCE/COMMAND	graph:2;base=0.520039;margin=0.117792;shape=0.347;size=0.894;calls=0.889;alternate=pol20:int combatManager::Main(struct tag_message &);   // virtual [override (implements baseManager pure virtual)]@0x0002a6d0
0x0000f5d1	0xd6	buka21	0x0002bb0e	?ValidHexToStandOn@combatManager@@QAEHH@Z	SOURCE/COMMAND	graph:2;base=0.417866;margin=0.483630;shape=0.194;size=0.735;calls=1.000;alternate=pol20:int combatManager::ValidHexToStandOn(int)@0x0002aa3d
0x0000f6a7	0x7e9	buka21	0x0002bc31	?SetCombatDirections@combatManager@@QAEXH@Z	SOURCE/COMMAND	graph:2;base=0.555396;margin=0.346771;shape=0.387;size=0.928;calls=1.000;alternate=pol20:void combatManager::SetCombatDirections(int)@0x0002abbe
0x0000fe90	0x620	buka21	0x0002c389	?CheckSetMouseDirection@combatManager@@QAEXHHH@Z	SOURCE/COMMAND	graph:2;base=0.473098;margin=0.353023;shape=0.247;size=0.891;calls=0.857;alternate=pol20:void combatManager::CheckSetMouseDirection(int, int, int)@0x0002b45f
0x000104e4	0x5bb	buka21	0x0002c958	?ProcessCombatMsg@combatManager@@QAEHAAUtag_message@@@Z	SOURCE/COMMAND	graph:2;base=0.392432;margin=0.340460;shape=0.273;size=0.720;calls=0.630;alternate=pol20:int combatManager::ProcessCombatMsg(struct tag_message &)@0x0002bb26
0x00010d35	0x316	buka21	0x0002d56e	?GetCommand@combatManager@@QAEHH@Z	SOURCE/COMMAND	graph:2;base=0.402881;margin=0.493749;shape=0.255;size=0.779;calls=0.500;alternate=pol20:int combatManager::GetCommand(int)@0x0002c8ff
0x0001104b	0x1dc	buka21	0x0002d964	?RightClick@combatManager@@QAEHH@Z	SOURCE/COMMAND	graph:4;base=0.497332;margin=0.914777;shape=0.275;size=0.969;calls=0.875;alternate=pol20:int combatManager::RightClick(int)@0x0002ce19
0x00011227	0x333	buka21	0x0002db4f	?DoCommand@combatManager@@QAEXH@Z	SOURCE/COMMAND	graph:2;base=0.479004;margin=0.375974;shape=0.217;size=0.994;calls=0.842;alternate=pol20:void combatManager::DoCommand(int)@0x0002d0bf
0x0001155a	0x1a3	buka21	0x0002de7d	?WinCombatHandler@@YIHAAUtag_message@@@Z	SOURCE/COMMAND	graph:3;base=0.240792;margin=0.378009;shape=0.252;size=0.331;calls=0.261;alternate=pol20:int WinCombatHandler(struct tag_message &)@0x0002d472
0x000116fd	0x110	buka21	0x0002e370	?ClearWinLoseBottom@combatManager@@QAEXPAVheroWindow@@@Z	SOURCE/COMMAND	graph:2;base=0.589024;margin=0.347731;shape=0.432;size=0.971;calls=1.000;alternate=pol20:void combatManager::ClearWinLoseBottom(class heroWindow *)@0x0002d9ed
0x0001180d	0x2fa	buka21	0x0002e93a	?ShowEagleEyeSpell@combatManager@@QAEXPAVheroWindow@@@Z	SOURCE/COMMAND	graph:3;base=0.775867;margin=0.001000;shape=0.535;size=0.990;calls=0.875;strings=pickup%02d.82M|smalfont.fnt;alternate=pol20:void combatManager::ShowWinLoseArtifact(class heroWindow *, int)@0x0002dafd
0x00011b07	0x7d0	buka21	0x0002ec2c	?ShowDeadArmies@combatManager@@QAEXPAVheroWindow@@@Z	SOURCE/COMMAND	graph:5;base=0.669049;margin=0.415746;shape=0.366;size=0.795;calls=0.971;strings=mons32.icn|smalfont.fnt;alternate=pol20:void combatManager::ShowDeadArmies(class heroWindow *)@0x0002e2bf
0x000122d7	0x7a1	buka21	0x0002f601	?DoVictory@combatManager@@QAEXH@Z	SOURCE/COMMAND	graph:3;base=0.616103;margin=0.112225;shape=0.417;size=0.688;calls=0.762;strings=wincmbt.bin;alternate=pol20:void combatManager::DoVictory(int)@0x0002ec8b
0x00012a78	0x549	buka21	0x00030118	?DoLoseWindow@combatManager@@QAEXXZ	SOURCE/COMMAND	graph:4;base=0.434201;margin=0.199849;shape=0.391;size=0.664;calls=0.594;alternate=pol20:void combatManager::DoLoseWindow(void)@0x0002f834
0x00012fc1	0x2c6	buka21	0x0003049b	?DoSurrender@combatManager@@QAEHXZ	SOURCE/COMMAND	graph:3;base=0.579024;margin=0.030061;shape=0.292;size=0.742;calls=0.667;strings=port%04d.icn|surrendr.bin;alternate=pol20:int combatManager::DoSurrender(void)@0x0002fbf0
0x00013349	0xdf	pol20	0x00030109	void combatManager::CheckCastleAttack(void)	SOURCE/COMMAND	graph:2;base=0.508514;margin=0.481510;shape=0.385;size=0.953;calls=0.500
0x00013428	0x79	buka21	0x000309fa	?CheckGetAIMove@combatManager@@QAEXXZ	SOURCE/COMMAND	graph:2;base=0.398729;margin=0.350217;shape=0.260;size=0.665;calls=0.750;alternate=pol20:void combatManager::CheckGetAIMove(void)@0x000301f3
0x000134a1	0x16a	buka21	0x00030ab0	?GetControl@combatManager@@QAEXXZ	SOURCE/COMMAND	graph:2;base=0.502120;margin=0.368499;shape=0.323;size=0.925;calls=0.750;alternate=pol20:void combatManager::GetControl(void)@0x000302d0
0x0001360b	0xdb	buka21	0x00030bff	?ResetMouse@combatManager@@QAEXXZ	SOURCE/COMMAND	graph:3;base=0.488306;margin=0.692886;shape=0.271;size=0.872;calls=1.000;alternate=pol20:void combatManager::ResetMouse(void)@0x0003045f
0x000136e6	0x55a	buka21	0x00030cbe	?ProcessNextAction@combatManager@@QAEHAAUtag_message@@@Z	SOURCE/COMMAND	graph:3;base=0.593971;margin=0.483478;shape=0.242;size=0.886;calls=0.629;strings=Process Act;alternate=pol20:int combatManager::ProcessNextAction(struct tag_message &)@0x00030536
0x00013c40	0xa8	buka21	0x00073da0	?is_netbios_avail@@YIHXZ	SOURCE/netwin	graph:2;base=0.601182;margin=0.610067;shape=0.521;size=0.881;calls=1.000;alternate=pol20:int is_netbios_avail(void)@0x000a6be0
0x00013ce8	0x1b2	buka21	0x00073e34	_nb_init	SOURCE/netwin	graph:3;base=0.569810;margin=0.557141;shape=0.568;size=0.810;calls=0.714;alternate=pol20:@nb_init@8@0x000a6c88
0x00013e9a	0x1f0	buka21	0x0007404c	@nb_term@0	SOURCE/netwin	graph:2;base=0.622698;margin=0.218100;shape=0.523;size=0.935;calls=1.000
0x0001408a	0x90	buka21	0x0007421c	_nb_rcv	SOURCE/netwin	graph:3;base=0.551014;margin=0.613566;shape=0.357;size=0.960;calls=1.000
0x0001411a	0x104	buka21	0x000742b2	_nb_snd	SOURCE/netwin	graph:3;base=0.424579;margin=0.396789;shape=0.244;size=0.738;calls=0.875;alternate=pol20:@nb_snd@12@0x000a7186
0x0001421e	0x4f6	buka21	0x00074372	_nb_sess	SOURCE/netwin	graph:2;base=0.596373;margin=0.181597;shape=0.465;size=0.963;calls=1.000;alternate=pol20:_nb_sess@0x000a726a
0x00014732	0x26f	buka21	0x00074848	?nb_thr_ctl@@YIXXZ	SOURCE/netwin	graph:2;base=0.603867;margin=0.370541;shape=0.533;size=0.856;calls=1.000
0x000149a1	0xbb	buka21	0x00074a5d	?nb_add_name@@YIXXZ	SOURCE/netwin	graph:3;base=0.648376;margin=0.629279;shape=0.600;size=0.968;calls=1.000
0x00014a5c	0x1cc	buka21	0x00074b12	?nb_add_name_done@@YGXPAUNetbiosControlBlock@@@Z	SOURCE/netwin	graph:2;base=0.526559;margin=0.402446;shape=0.386;size=0.876;calls=1.000
0x00014c28	0xb8	buka21	0x00074ca5	?nb_recv_any@@YIGH@Z	SOURCE/netwin	graph:2;base=0.652334;margin=0.180033;shape=0.595;size=0.978;calls=1.000
0x00014ce0	0x146	buka21	0x00074d59	?nb_recv_any_done@@YGXPAUNetbiosControlBlock@@@Z	SOURCE/netwin	graph:2;base=0.615862;margin=0.390586;shape=0.547;size=0.874;calls=1.000
0x00014e26	0xc6	buka21	0x00074e76	?nb_call@@YIGHPAX@Z	SOURCE/netwin	graph:4;base=0.623528;margin=0.200000;shape=0.526;size=0.980;calls=1.000
0x00014eec	0xc6	buka21	0x00074f38	?nb_listen@@YIGHPAX@Z	SOURCE/netwin	graph:3;base=0.623528;margin=0.000000;shape=0.526;size=0.980;calls=1.000
0x00014fb2	0x134	buka21	0x00074ffa	?nb_call_done@@YGXPAUNetbiosControlBlock@@@Z	SOURCE/netwin	graph:2;base=0.559585;margin=0.426970;shape=0.470;size=0.792;calls=1.000
0x000150e6	0x14e	buka21	0x000750ee	?nb_arm_recv@@YIXH@Z	SOURCE/netwin	graph:2;base=0.540579;margin=0.389631;shape=0.387;size=0.874;calls=1.000
0x00015234	0xbf	buka21	0x00075212	?nb_close_session@@YIXH@Z	SOURCE/netwin	graph:3;base=0.648719;margin=0.405727;shape=0.609;size=0.927;calls=1.000
0x000152f3	0x176	buka21	0x000752c3	?nb_recv_complete@@YIXH@Z	SOURCE/netwin	graph:2;base=0.538434;margin=0.261248;shape=0.430;size=0.832;calls=1.000
0x00015469	0x87	buka21	0x000753fa	?nb_format_name@@YIXPADPAE@Z	SOURCE/netwin	graph:2;base=0.502333;margin=0.531318;shape=0.300;size=0.874;calls=1.000
0x000154f0	0x147	buka21	0x000987f7	?ViewSpells@combatManager@@QAEHH@Z	SOURCE/SPELLS	graph:3;base=0.380473;margin=0.603680;shape=0.231;size=0.337;calls=0.235;strings=cmbtmous.mse|spelmous.mse;alternate=pol20:int combatManager::ViewSpells(int)@0x00020546
0x00015797	0x295	pol20	0x00020aec	int HandleCastSpell(struct tag_message &)	SOURCE/SPELLS	graph:1;base=0.706243;margin=0.450598;shape=0.383;size=0.969;calls=0.900;strings=Invalid Teleport Destination|Select Spell Target|Select teleport destination.
0x00015a2c	0x2f0	pol20	0x0002107b	int combatManager::ValidSpellTarget(int, int)	SOURCE/SPELLS	graph:3;base=0.330529;margin=0.669913;shape=0.246;size=0.573;calls=0.500
0x00015e44	0xd69	buka21	0x00099653	?CastSpell@combatManager@@QAEXHHHH@Z	SOURCE/SPELLS	graph:3;base=0.313511;margin=0.551146;shape=0.234;size=0.481;calls=0.596;alternate=pol20:void combatManager::CastSpell(int, int, int, int)@0x000217be
0x00016bad	0xcb	pol20	0x00023688	void combatManager::DefaultSpell(int)	SOURCE/SPELLS	graph:2;base=0.460466;margin=0.352892;shape=0.303;size=0.931;calls=0.500
